iter	Passed	Remaining
0	10	5027
1	18	4490
2	26	4346
3	34	4255
4	43	4283
5	51	4209
6	59	4212
7	68	4206
8	77	4228
9	85	4191
10	93	4178
11	102	4184
12	111	4163
13	119	4133
14	127	4110
15	136	4125
16	144	4111
17	153	4104
18	162	4122
19	172	4149
20	181	4128
21	191	4154
22	199	4139
23	209	4158
24	219	4174
25	228	4159
26	237	4168
27	246	4148
28	255	4142
29	263	4128
30	273	4136
31	281	4121
32	290	4115
33	300	4112
34	309	4108
35	318	4099
36	326	4081
37	336	4088
38	345	4085
39	355	4093
40	366	4102
41	376	4105
42	385	4096
43	395	4096
44	404	4094
45	413	4080
46	421	4061
47	429	4048
48	437	4030
49	445	4013
50	453	3996
51	462	3985
52	470	3970
53	478	3954
54	486	3936
55	495	3926
56	502	3909
57	510	3892
58	518	3875
59	527	3864
60	535	3850
61	543	3837
62	550	3821
63	559	3812
64	567	3797
65	575	3786
66	583	3772
67	592	3764
68	600	3752
69	608	3738
70	617	3731
71	626	3726
72	634	3711
73	642	3698
74	650	3684
75	658	3675
76	666	3660
77	673	3646
78	681	3632
79	690	3623
80	697	3610
81	706	3599
82	713	3586
83	722	3579
84	731	3572
85	740	3563
86	748	3552
87	757	3548
88	765	3537
89	775	3531
90	784	3527
91	795	3529
92	805	3525
93	814	3519
94	825	3517
95	834	3511
96	845	3514
97	856	3515
98	866	3508
99	875	3501
100	884	3493
101	893	3485
102	902	3478
103	912	3475
104	925	3480
105	937	3485
106	950	3490
107	961	3489
108	975	3497
109	1001	3549
110	1013	3552
111	1026	3555
112	1039	3561
113	1052	3564
114	1064	3565
115	1074	3556
116	1086	3557
117	1096	3548
118	1116	3575
119	1124	3562
120	1133	3550
121	1141	3536
122	1150	3526
123	1158	3512
124	1166	3499
125	1175	3488
126	1184	3478
127	1192	3465
128	1201	3456
129	1210	3444
130	1219	3434
131	1227	3421
132	1237	3413
133	1246	3403
134	1253	3390
135	1262	3379
136	1270	3365
137	1279	3355
138	1286	3342
139	1295	3330
140	1303	3317
141	1312	3308
142	1320	3295
143	1329	3285
144	1337	3273
145	1346	3264
146	1354	3252
147	1363	3243
148	1371	3230
149	1380	3222
150	1389	3210
151	1397	3200
152	1406	3189
153	1416	3181
154	1423	3169
155	1431	3157
156	1440	3147
157	1448	3135
158	1457	3125
159	1465	3113
160	1475	3105
161	1483	3095
162	1492	3085
163	1500	3075
164	1511	3068
165	1520	3058
166	1530	3051
167	1540	3044
168	1549	3034
169	1560	3028
170	1569	3019
171	1579	3011
172	1588	3003
173	1597	2993
174	1608	2987
175	1619	2980
176	1629	2973
177	1639	2966
178	1648	2955
179	1657	2945
180	1665	2935
181	1674	2925
182	1682	2915
183	1691	2905
184	1699	2894
185	1708	2884
186	1716	2873
187	1725	2864
188	1734	2854
189	1743	2843
190	1752	2834
191	1760	2823
192	1770	2816
193	1778	2805
194	1787	2796
195	1795	2784
196	1805	2776
197	1813	2766
198	1822	2756
199	1830	2746
200	1840	2737
201	1848	2727
202	1856	2716
203	1865	2706
204	1873	2696
205	1883	2687
206	1891	2677
207	1902	2671
208	1912	2662
209	1921	2653
210	1931	2645
