,host_material,semiconductor_2,semiconductor_3,semiconductor_1_pct,semiconductor_2_pct,co_catalyst,co_catalyst_wt_pct,form,structure,bandgap_eV,full_catalyst,preparation_semiconductor,calcination_temp_semiconductor_C,calcination_time_semiconductor_h,preparation_photocatalyst,calcination_temp_photocatalyst_C,calcination_time_photocatalyst_h,light_type,light_source_type,light_power_W,light_power_reported,wavelength_cutoff_nm,is_xe_lamp,is_hg_lamp,is_led,is_uv,is_visible_light,catalyst_loading_g_L,catalyst_loading_mg,catalyst_loading_reported,reaction_volume_mL,glycerol_concentration_v_pct,glycerol_concentration_std,glycerol_concentration_reported,temperature_C,pH,HER_reported,HER_std_umol_g_h,DOI,source_url,paper_title,journal,year,authors,data_quality_flag,data_quality_note,confidence_HER,confidence_loading,confidence_volume,confidence_light,confidence_wavelength,confidence_pH,confidence_bandgap,metadata_completeness_score,experiment_hash,semi_bandgap_eV,semi_electron_affinity_eV,semi_dielectric,semi_crystal,semi_density,cocat_work_function,cocat_d_band_center,cocat_atomic_radius,cocat_electronegativity,cocat_price,log_HER
8,tio2,g-c3n4,,50.0,10.0,ag,3.0,nanocomposite,anatase,,3wt%ag/tio2/g-c3n4,hydrothermal,,0.0,sol-gel,400.0,3.0,visible,xe lamp,35.0,35 w,420.0,1,0,0,0,1,1.15,149.5,1.15 g/l,130.0,5.0,0.6847,5 vol%,25.0,11.0,1440 μmol g⁻¹ h⁻¹,1440.0,10.1016/j.renene.2020.04.020,https://doi.org/10.1016/j.renene.2020.04.020,solar photocatalytic hydrogen production from glycerol reforming using ternary cu/ths/graphene,conference of the south african advanced materials initiative (proceedings),2020.0,seadira et al.,needs_review,"catalyst loading calc: 1.15 g/l × 130.0 ml = 149.50 mg; glycerol std: (5.0/100×1261)/92.09 = 0.6847 m; warning: conference proceedings, not journal article. cannot cite with doi.; wavelength_cutoff_nm=420nm inferred (xe lamp, visible cutoff); doi resolved via crossref api",high,medium,high,high,medium,high,low,0.625,e074f8b9bd2ddad8,3.2,4.21,86.0,1.0,3.89,4.26,-4.3,144.0,1.93,4.0,7.273092595999522
7,tio2,g-c3n4,,50.0,10.0,ag,3.0,nanocomposite,anatase,,3wt%ag/tio2/g-c3n4,hydrothermal,,0.0,sol-gel,400.0,3.0,visible,xe lamp,35.0,35 w,420.0,1,0,0,0,1,1.15,149.5,1.15 g/l,130.0,5.0,0.6847,5 vol%,25.0,8.0,659.2 μmol g⁻¹ h⁻¹,659.2,10.1016/j.renene.2020.04.020,https://doi.org/10.1016/j.renene.2020.04.020,solar photocatalytic hydrogen production from glycerol reforming using ternary cu/ths/graphene,conference of the south african advanced materials initiative (proceedings),2020.0,seadira et al.,needs_review,"catalyst loading calc: 1.15 g/l × 130.0 ml = 149.50 mg; glycerol std: (5.0/100×1261)/92.09 = 0.6847 m; warning: conference proceedings, not journal article. cannot cite with doi.; wavelength_cutoff_nm=420nm inferred (xe lamp, visible cutoff); doi resolved via crossref api",high,medium,high,high,medium,high,low,0.625,8574b97ce480a4db,3.2,4.21,86.0,1.0,3.89,4.26,-4.3,144.0,1.93,4.0,6.492542819419093
49,tio2,g-c3n4,,50.0,,ag,3.0,nanocomposite,anatase,,3wt%ag/tio2/g-c3n4,hydrothermal,,0.0,sol-gel,400.0,3.0,visible,xe lamp,35.0,35 w,420.0,1,0,0,0,1,1.15,149.5,1.15 g/l,130.0,5.0,0.6847,5 vol%,25.0,11.0,2513.1 μmol g⁻¹ h⁻¹,2513.1,10.1016/j.renene.2020.04.020,https://doi.org/10.1016/j.renene.2020.04.020,solar photocatalytic hydrogen production from glycerol reforming using ternary cu/ths/graphene,conference of the south african advanced materials initiative (proceedings),2020.0,seadira et al.,needs_review,"catalyst loading calc: 1.15 g/l × 130.0 ml = 149.50 mg; glycerol std: (5.0/100×1261)/92.09 = 0.6847 m; warning: conference proceedings, not journal article. cannot cite with doi.; wavelength_cutoff_nm=420nm inferred (xe lamp, visible cutoff); doi resolved via crossref api",high,medium,high,high,medium,high,low,0.625,07fc4407aaa45e80,3.2,4.21,86.0,1.0,3.89,4.26,-4.3,144.0,1.93,4.0,7.8296701656065135
48,tio2,g-c3n4,,50.0,,ag,3.0,nanocomposite,anatase,,3wt%ag/tio2/g-c3n4,hydrothermal,,0.0,sol-gel,400.0,3.0,visible,xe lamp,35.0,35 w,420.0,1,0,0,0,1,1.15,149.5,1.15 g/l,130.0,5.0,0.6847,5 vol%,25.0,8.0,5026.3 μmol g⁻¹ h⁻¹,5026.3,10.1016/j.renene.2020.04.020,https://doi.org/10.1016/j.renene.2020.04.020,solar photocatalytic hydrogen production from glycerol reforming using ternary cu/ths/graphene,conference of the south african advanced materials initiative (proceedings),2020.0,seadira et al.,needs_review,"catalyst loading calc: 1.15 g/l × 130.0 ml = 149.50 mg; glycerol std: (5.0/100×1261)/92.09 = 0.6847 m; warning: conference proceedings, not journal article. cannot cite with doi.; wavelength_cutoff_nm=420nm inferred (xe lamp, visible cutoff); doi resolved via crossref api",high,medium,high,high,medium,high,low,0.625,6effb42f74f7d7bc,3.2,4.21,86.0,1.0,3.89,4.26,-4.3,144.0,1.93,4.0,8.522638339652133
47,tio2,g-c3n4,,50.0,,ag,3.0,nanocomposite,anatase,,3wt%ag/tio2/g-c3n4,hydrothermal,,0.0,sol-gel,400.0,3.0,visible,xe lamp,35.0,35 w,420.0,1,0,0,0,1,1.15,149.5,1.15 g/l,130.0,5.0,0.6847,5 vol%,25.0,7.0,10052.6 μmol g⁻¹ h⁻¹,10052.6,10.1016/j.renene.2020.04.020,https://doi.org/10.1016/j.renene.2020.04.020,solar photocatalytic hydrogen production from glycerol reforming using ternary cu/ths/graphene,conference of the south african advanced materials initiative (proceedings),2020.0,seadira et al.,needs_review,"catalyst loading calc: 1.15 g/l × 130.0 ml = 149.50 mg; glycerol std: (5.0/100×1261)/92.09 = 0.6847 m; warning: conference proceedings, not journal article. cannot cite with doi.; wavelength_cutoff_nm=420nm inferred (xe lamp, visible cutoff); doi resolved via crossref api",high,medium,high,high,medium,high,low,0.625,ee452d1ef89e109e,3.2,4.21,86.0,1.0,3.89,4.26,-4.3,144.0,1.93,4.0,9.215686058300935
46,tio2,g-c3n4,,50.0,,ag,3.0,nanocomposite,anatase,,3wt%ag/tio2/g-c3n4,hydrothermal,,0.0,sol-gel,400.0,3.0,visible,xe lamp,35.0,35 w,420.0,1,0,0,0,1,1.15,149.5,1.15 g/l,130.0,5.0,0.6847,5 vol%,25.0,4.0,1108.3 μmol g⁻¹ h⁻¹,1108.3,10.1016/j.renene.2020.04.020,https://doi.org/10.1016/j.renene.2020.04.020,solar photocatalytic hydrogen production from glycerol reforming using ternary cu/ths/graphene,conference of the south african advanced materials initiative (proceedings),2020.0,seadira et al.,needs_review,"catalyst loading calc: 1.15 g/l × 130.0 ml = 149.50 mg; glycerol std: (5.0/100×1261)/92.09 = 0.6847 m; warning: conference proceedings, not journal article. cannot cite with doi.; wavelength_cutoff_nm=420nm inferred (xe lamp, visible cutoff); doi resolved via crossref api",high,medium,high,high,medium,high,low,0.625,339bff075160642a,3.2,4.21,86.0,1.0,3.89,4.26,-4.3,144.0,1.93,4.0,7.011484464744614
45,tio2,g-c3n4,,50.0,,ag,3.0,nanocomposite,anatase,,3wt%ag/tio2/g-c3n4,hydrothermal,,0.0,sol-gel,400.0,3.0,visible,xe lamp,35.0,35 w,420.0,1,0,0,0,1,1.15,149.5,1.15 g/l,130.0,5.0,0.6847,5 vol%,25.0,2.0,367 μmol g⁻¹ h⁻¹,367.0,10.1016/j.renene.2020.04.020,https://doi.org/10.1016/j.renene.2020.04.020,solar photocatalytic hydrogen production from glycerol reforming using ternary cu/ths/graphene,conference of the south african advanced materials initiative (proceedings),2020.0,seadira et al.,needs_review,"catalyst loading calc: 1.15 g/l × 130.0 ml = 149.50 mg; glycerol std: (5.0/100×1261)/92.09 = 0.6847 m; warning: conference proceedings, not journal article. cannot cite with doi.; wavelength_cutoff_nm=420nm inferred (xe lamp, visible cutoff); doi resolved via crossref api",high,medium,high,high,medium,high,low,0.625,efb04cb3f48bce8d,3.2,4.21,86.0,1.0,3.89,4.26,-4.3,144.0,1.93,4.0,5.908082938168931
495,cds,,,100.0,,pt,,nanoparticle,,,xwt%pt/cds,heat treating,,0.0,photodeposition,,0.0,visible,hg-xe lamp,500.0,500 w,418.0,1,1,0,0,1,1.0,60.0,1 g/l,60.0,70.0,9.5852,70 vol%,25.0,10.0,1196.67 μmol g⁻¹ h⁻¹,1196.67,10.1002/chem.201501595,https://doi.org/10.1002/chem.201501595,zno/zns heterostructured nanorod arrays and their efficient photocatalytic hydrogen evolution,chemistry a european journal,2015.0,bao et al.,needs_review,catalyst loading calc: 1.0 g/l × 60.0 ml = 60.00 mg; glycerol std: (70.0/100×1261)/92.09 = 9.5852 m; doi resolved via crossref api,high,medium,high,high,medium,high,low,0.625,fe90039ab11b9c90,2.42,4.2,8.9,3.0,4.82,5.65,-2.25,139.0,2.28,5.0,7.088133281631071
494,cds,,,100.0,,pt,,nanoparticle,,,xwt%pt/cds,heat treating,,0.0,photodeposition,,0.0,visible,hg-xe lamp,500.0,500 w,418.0,1,1,0,0,1,2.0,120.0,2 g/l,60.0,30.0,4.1079,30 vol%,25.0,10.0,394.29 μmol g⁻¹ h⁻¹,394.29,10.1002/chem.201501595,https://doi.org/10.1002/chem.201501595,zno/zns heterostructured nanorod arrays and their efficient photocatalytic hydrogen evolution,chemistry a european journal,2015.0,bao et al.,needs_review,catalyst loading calc: 2.0 g/l × 60.0 ml = 120.00 mg; glycerol std: (30.0/100×1261)/92.09 = 4.1079 m; doi resolved via crossref api,high,medium,high,high,medium,high,low,0.625,04abeb479c1205ce,2.42,4.2,8.9,3.0,4.82,5.65,-2.25,139.0,2.28,5.0,5.979619672740059
493,cds,,,100.0,,pt,,nanoparticle,,,xwt%pt/cds,heat treating,,0.0,photodeposition,,0.0,visible,hg-xe lamp,500.0,500 w,418.0,1,1,0,0,1,2.0,120.0,2 g/l,60.0,30.0,4.1079,30 vol%,25.0,10.0,1418.33 μmol g⁻¹ h⁻¹,1418.33,10.1002/chem.201501595,https://doi.org/10.1002/chem.201501595,zno/zns heterostructured nanorod arrays and their efficient photocatalytic hydrogen evolution,chemistry a european journal,2015.0,bao et al.,needs_review,catalyst loading calc: 2.0 g/l × 60.0 ml = 120.00 mg; glycerol std: (30.0/100×1261)/92.09 = 4.1079 m; doi resolved via crossref api,high,medium,high,high,medium,high,low,0.625,469705356cc26ab5,2.42,4.2,8.9,3.0,4.82,5.65,-2.25,139.0,2.28,5.0,7.257940208262125
