host_material,co_catalyst,co_catalyst_wt_pct,glycerol_concentration_v_pct,light_type,catalyst_loading_g_L,pred_median_log,pred_p05_log,pred_p95_log,ucb_log,novelty_score,pred_her_umol_g_h,ucb_her_umol_g_h,composition,confidence
srtio3,wc,3.0,20.0,uv,2.0,8.638369214912915,6.742057594720072,10.534680835105759,10.534680835105759,0.9559176324037091,5643.117971783463,37596.04873119462,srtio3/wc (3.0 wt%),MEDIUM
srtio3,wc,5.0,20.0,uv,2.0,8.619147189158477,6.7228355689656345,10.51545880935132,10.51545880935132,0.956074132162253,5535.662653798681,36880.25879786988,srtio3/wc (5.0 wt%),MEDIUM
srtio3,pd,3.0,20.0,uv,2.0,8.570363557728173,6.674051937535331,10.466675177921017,10.466675177921017,0.9557380997348995,5272.046498561507,35124.237842189825,srtio3/pd (3.0 wt%),MEDIUM
fe2o3,rh,3.0,20.0,uv,2.0,8.558685847980863,6.66237422778802,10.454997468173707,10.454997468173707,0.09026564772279363,5210.827536398144,34716.441209441226,fe2o3/rh (3.0 wt%),MEDIUM
g-c3n4,rh,3.0,20.0,uv,2.0,8.52328005083751,6.626968430644667,10.419591671030354,10.419591671030354,0.10372969458359663,5029.527109967787,33508.74835086431,g-c3n4/rh (3.0 wt%),MEDIUM
g-c3n4,wc,3.0,20.0,uv,2.0,8.50637491953544,6.610063299342598,10.402686539728284,10.402686539728284,0.10586437061593895,4945.200175862553,32947.02305264116,g-c3n4/wc (3.0 wt%),MEDIUM
fe2o3,rh,5.0,20.0,uv,2.0,8.500554301456361,6.604242681263519,10.396865921649205,10.396865921649205,0.09105550979397929,4916.493858996136,32755.802245507897,fe2o3/rh (5.0 wt%),MEDIUM
srtio3,wc,3.0,10.0,uv,2.0,8.496653655635036,6.6003420354421936,10.39296527582788,10.39296527582788,0.9549980721868289,4897.349818457618,32628.278436006232,srtio3/wc (3.0 wt%),MEDIUM
g-c3n4,rh,5.0,20.0,uv,2.0,8.496262278145075,6.599950657952232,10.392573898337918,10.392573898337918,0.10446892782196587,4895.433089707427,32615.510569603422,g-c3n4/rh (5.0 wt%),MEDIUM
bivo4,rh,3.0,10.0,uv,2.0,8.494379919308244,6.598068299115401,10.390691539501088,10.390691539501088,0.005460530936042631,4886.224914875623,32554.1723410959,bivo4/rh (3.0 wt%),MEDIUM
