host_material,co_catalyst,cocatalyst_wt_pct,glycerol_vol_pct,light_source_type,catalyst_loading_g_L,pred_median_log,pred_p05_log,pred_p95_log,ucb_log,novelty_score,pred_her_umol_g_h,ucb_her_umol_g_h,composition,confidence,ad_score,within_ad,ad_label
bivo4,rh,3.0,50.0,visible,0.5,8.047946497729923,5.997707605988621,10.098185389471224,10.098185389471224,0.0047261431377959,3126.3663190857383,24297.87639744261,bivo4/rh (3.0 wt%),MEDIUM,38.446240902770306,True,within_AD
bivo4,ru,0.5,50.0,uv-vis,0.5,8.047946497729923,5.997707605988621,10.098185389471224,10.098185389471224,0.0043414382554609,3126.3663190857383,24297.87639744261,bivo4/ru (0.5 wt%),MEDIUM,38.363836368677234,True,within_AD
bivo4,pd,5.0,30.0,solar,0.5,8.010471171791579,5.960232280050278,10.06071006353288,10.06071006353288,0.0068557065412364,3011.336106361354,23404.11959514435,bivo4/pd (5.0 wt%),MEDIUM,19.3552816030926,True,within_AD
srtio3,ru,0.5,5.0,uv-vis,0.5,7.825171576643661,5.77493268490236,9.875410468384962,9.875410468384962,0.9990723143903268,2501.815498685673,19445.268279165262,srtio3/ru (0.5 wt%),MEDIUM,6.8084703770017825,True,within_AD
srtio3,rh,2.0,30.0,visible,0.5,7.825171576643661,5.77493268490236,9.875410468384962,9.875410468384962,0.9991106458697788,2501.815498685673,19445.268279165262,srtio3/rh (2.0 wt%),MEDIUM,18.858179755976074,True,within_AD
bivo4,rgo,3.0,5.0,uv-vis,2.0,7.819320033255369,5.769081141514068,9.86955892499667,9.86955892499667,0.0009345965473953,2487.212930649101,19331.80987372026,bivo4/rgo (3.0 wt%),MEDIUM,7.390318636757408,True,within_AD
bivo4,cos2,5.0,10.0,solar,2.0,7.819320033255369,5.769081141514068,9.86955892499667,9.86955892499667,0.0009345965473953,2487.212930649101,19331.80987372026,bivo4/cos2 (5.0 wt%),MEDIUM,7.174333247265919,True,within_AD
bivo4,ni2p,0.5,10.0,visible,2.0,7.819320033255369,5.769081141514068,9.86955892499667,9.86955892499667,0.0009345965473953,2487.212930649101,19331.80987372026,bivo4/ni2p (0.5 wt%),MEDIUM,5.5818032641901265,True,within_AD
bivo4,wc,3.0,30.0,visible,2.0,7.819320033255369,5.769081141514068,9.86955892499667,9.86955892499667,0.0009345965473953,2487.212930649101,19331.80987372026,bivo4/wc (3.0 wt%),MEDIUM,19.02190436352798,True,within_AD
bivo4,fes2,1.0,20.0,uv-vis,2.0,7.819320033255369,5.769081141514068,9.86955892499667,9.86955892499667,0.0009345965473953,2487.212930649101,19331.80987372026,bivo4/fes2 (1.0 wt%),MEDIUM,10.18518819561987,True,within_AD
bivo4,mn,0.1,10.0,visible,2.0,7.819320033255369,5.769081141514068,9.86955892499667,9.86955892499667,0.0009345965473953,2487.212930649101,19331.80987372026,bivo4/mn (0.1 wt%),MEDIUM,5.596191246650042,True,within_AD
bivo4,ir,2.0,10.0,solar,2.0,7.747155236243939,5.696916344502638,9.79739412798524,9.79739412798524,0.0063352416583574,2313.977474519735,17985.812473143073,bivo4/ir (2.0 wt%),MEDIUM,5.780784472157651,True,within_AD
srtio3,pd,0.5,50.0,solar,0.5,7.736737056701648,5.686498164960348,9.786975948442947,9.786975948442947,0.9993322603004766,2289.9848204528066,17799.39538088847,srtio3/pd (0.5 wt%),MEDIUM,38.363836368677234,True,within_AD
bivo4,pt,0.1,20.0,visible,2.0,7.648141278493491,5.597902386752191,9.698380170234792,9.698380170234792,0.0090685498771329,2095.7447007414903,16290.1968480893,bivo4/pt (0.1 wt%),MEDIUM,10.180344453499739,True,within_AD
bivo4,cu,3.0,30.0,uv-vis,0.5,7.621357230752219,5.571118339010917,9.67159612249352,9.67159612249352,0.0,2040.330807476305,15859.644362141506,bivo4/cu (3.0 wt%),MEDIUM,18.970142245259474,True,within_AD
fe2o3,pt,1.0,10.0,visible,2.0,7.600753582956688,5.550514691215387,9.65099247469799,9.65099247469799,0.0842863807349459,1998.7022689923497,15536.20073321494,fe2o3/pt (1.0 wt%),MEDIUM,5.604267930413276,True,within_AD
fe2o3,mos2,3.0,50.0,uv-vis,2.0,7.590792988660596,5.540554096919296,9.641031880401895,9.641031880401895,0.0843979717676919,1978.8829161065048,15382.20917708944,fe2o3/mos2 (3.0 wt%),MEDIUM,38.47072835404841,True,within_AD
fe2o3,ir,0.1,50.0,solar,2.0,7.590617912739899,5.540379020998598,9.6408568044812,9.6408568044812,0.0822701778620243,1978.536316623591,15379.516183325532,fe2o3/ir (0.1 wt%),MEDIUM,38.390490033137446,True,within_AD
fe2o3,pd,0.1,5.0,solar,2.0,7.578995811221328,5.528756919480028,9.629234702962629,9.629234702962629,0.0828049761568689,1955.663119364891,15201.79699846012,fe2o3/pd (0.1 wt%),MEDIUM,6.958380976030114,True,within_AD
srtio3,rgo,5.0,30.0,uv-vis,2.0,7.548750596154208,5.498511704412907,9.598989487895508,9.598989487895508,0.998741503970139,1897.3694189827047,14748.869110962,srtio3/rgo (5.0 wt%),MEDIUM,19.405701679940176,True,within_AD
