host_material,co_catalyst,co_catalyst_wt_pct,glycerol_concentration_v_pct,light_type,catalyst_loading_g_L,pred_median_log,pred_p05_log,pred_p95_log,ucb_log,novelty_score,pred_her_umol_g_h,ucb_her_umol_g_h
zns,rh,0.5,5.0,uv,2.0,7.331930937802382,6.831930937802382,7.831930937802382,7.831930937802382,0.21202869849392045,1527.330034857214,2518.790237118957
zns,cu,0.5,5.0,uv,2.0,7.322690851671811,6.822690851671811,7.822690851671811,7.822690851671811,0.2130479354859351,1513.2731770013058,2495.614396572713
zns,au,0.5,5.0,uv,2.0,7.284177888389598,6.784177888389598,7.784177888389598,7.784177888389598,0.212041901946911,1456.0627721094013,2401.290385122063
zns,ir,0.5,5.0,uv,2.0,7.2745502732875655,6.7745502732875655,7.7745502732875655,7.7745502732875655,0.21186882391577508,1442.1020446512377,2378.2730368073417
zns,ni,2.0,30.0,uv,2.0,7.2674659992980235,6.7674659992980235,7.7674659992980235,7.7674659992980235,0.32971424122801757,1431.9148414467463,2361.477178195152
zns,pd,0.5,5.0,uv,2.0,7.2559720535616625,6.7559720535616625,7.7559720535616625,7.7559720535616625,0.21182241871413837,1415.5392861681153,2334.4784518877477
moo3,pd,2.0,30.0,uv,2.0,7.240658729745409,6.740658729745409,7.740658729745409,7.740658729745409,0.3253501985603721,1394.0126045654142,2298.9869540417853
zns,pt,0.5,5.0,uv,2.0,7.234684064042234,6.734684064042234,7.734684064042234,7.734684064042234,0.21178021365862115,1385.702719712993,2285.2862701285294
zns,ru,0.5,5.0,uv,2.0,7.22893386049387,6.72893386049387,7.72893386049387,7.72893386049387,0.2120468223818377,1377.7517784868378,2272.1773842068806
zns,co,0.5,5.0,uv,2.0,7.207823393666893,6.707823393666893,7.707823393666893,7.707823393666893,0.21377494295589516,1348.9507559146268,2224.6925256741624
zns,ni2p,2.0,30.0,uv,2.0,7.202477735396547,6.702477735396547,7.702477735396547,7.702477735396547,0.32971727838781373,1341.7536343068098,2212.8264781915386
zns,wc,0.5,5.0,uv,2.0,7.197780421182561,6.697780421182561,7.697780421182561,7.697780421182561,0.21182774475552327,1335.4610891756292,2202.451825186921
zns,cos2,0.5,5.0,uv,2.0,7.187501264641987,6.687501264641987,7.687501264641987,7.687501264641987,0.21377529070297624,1321.7937610739498,2179.918210632044
g-c3n4,ni,2.0,30.0,uv,2.0,7.186439252811789,6.686439252811789,7.686439252811789,7.686439252811789,0.33682928889912606,1320.3896841558944,2177.603279151547
moo3,au,2.0,30.0,uv,2.0,7.165730120264832,6.665730120264832,7.665730120264832,7.665730120264832,0.3267844323038108,1293.3062551294324,2132.950253632122
g-c3n4,pd,2.0,30.0,uv,2.0,7.15979482003617,6.65979482003617,7.65979482003617,7.65979482003617,0.33741760044755076,1285.6469116540763,2120.3221311247044
moo3,wc,2.0,30.0,uv,2.0,7.14626733813208,6.64626733813208,7.64626733813208,7.64626733813208,0.32561490899300577,1268.3590133347832,2091.8192054399847
moo3,ni,2.0,30.0,uv,2.0,7.145783226686074,6.645783226686074,7.645783226686074,7.645783226686074,0.32475235016893295,1267.7446508292967,2090.8062929092684
g-c3n4,cu,0.5,5.0,uv,2.0,7.1411316279231025,6.6411316279231025,7.6411316279231025,7.6411316279231025,0.2214590386333142,1261.8566646722425,2081.0986448905455
moo3,ru,2.0,30.0,uv,2.0,7.140045762692554,6.640045762692554,7.640045762692554,7.640045762692554,0.3249451690941343,1260.486116778729,2078.8389934259963
moo3,rh,2.0,30.0,uv,2.0,7.139928359100583,6.639928359100583,7.639928359100583,7.639928359100583,0.3249816812689936,1260.3380224709697,2078.594827190724
moo3,ir,2.0,30.0,uv,2.0,7.139061616956646,6.639061616956646,7.639061616956646,7.639061616956646,0.32520822782625597,1259.2452412973037,2076.7931356254803
