composition,host_material,co_catalyst,co_catalyst_wt_pct,pred_her_umol_g_h,ucb_her_umol_g_h,pred_median_log,pred_p05_log,pred_p95_log,confidence,novelty_score
srtio3/wc (3.0 wt%),srtio3,wc,3.0,5643.117971783463,37596.04873119462,8.638369214912915,6.742057594720072,10.534680835105759,MEDIUM,0.9559176324037091
srtio3/pd (3.0 wt%),srtio3,pd,3.0,5272.046498561507,35124.237842189825,8.570363557728173,6.674051937535331,10.466675177921017,MEDIUM,0.9557380997348995
fe2o3/rh (3.0 wt%),fe2o3,rh,3.0,5210.827536398144,34716.441209441226,8.558685847980863,6.66237422778802,10.454997468173707,MEDIUM,0.09026564772279363
g-c3n4/rh (3.0 wt%),g-c3n4,rh,3.0,5029.527109967787,33508.74835086431,8.52328005083751,6.626968430644667,10.419591671030354,MEDIUM,0.10372969458359663
g-c3n4/wc (3.0 wt%),g-c3n4,wc,3.0,4945.200175862553,32947.02305264116,8.50637491953544,6.610063299342598,10.402686539728284,MEDIUM,0.10586437061593895
bivo4/rh (3.0 wt%),bivo4,rh,3.0,4886.224914875623,32554.1723410959,8.494379919308244,6.598068299115401,10.390691539501088,MEDIUM,0.005460530936042631
in2o3/rh (3.0 wt%),in2o3,rh,3.0,4868.988777378212,32439.357607479873,8.490846911634188,6.594535291441345,10.387158531827032,MEDIUM,0.09401123348897848
fe2o3/wc (5.0 wt%),fe2o3,wc,5.0,4828.164008044662,32167.412398370747,8.482428648445422,6.58611702825258,10.378740268638266,MEDIUM,0.09337895171181503
in2o3/wc (3.0 wt%),in2o3,wc,3.0,4794.158012243399,31940.888947286872,8.475361940318566,6.579050320125723,10.37167356051141,MEDIUM,0.09624334327418849
bivo4/ru (5.0 wt%),bivo4,ru,5.0,4742.919256206207,31599.573259470486,8.464618920340095,6.568307300147253,10.360930540532939,MEDIUM,0.015238448064159443
srtio3/rh (5.0 wt%),srtio3,rh,5.0,4740.892289007871,31586.071063925785,8.46419155211345,6.567879931920607,10.360503172306293,MEDIUM,0.9547726046496555
g-c3n4/pd (3.0 wt%),g-c3n4,pd,3.0,4584.884864272595,30546.861965263568,8.430738357187426,6.534426736994583,10.32704997738027,MEDIUM,0.10471476950025159
in2o3/ru (3.0 wt%),in2o3,ru,3.0,4541.46721853512,30257.644881080294,8.421225583631214,6.5249139634383715,10.317537203824058,MEDIUM,0.09391564510397872
in2o3/pd (3.0 wt%),in2o3,pd,3.0,4473.700610330454,29806.2325463708,8.406194725751417,6.509883105558575,10.302506345944261,MEDIUM,0.09503943648329605
srtio3/ru (3.0 wt%),srtio3,ru,3.0,4419.391240807053,29444.46264313,8.393983487174127,6.4976718669812845,10.29029510736697,MEDIUM,0.954574700122686
bivo4/wc (5.0 wt%),bivo4,wc,5.0,4410.479686816851,29385.10028902697,8.391965442053769,6.495653821860926,10.288277062246612,MEDIUM,0.01059517273613274
zns/rh (3.0 wt%),zns,rh,3.0,4403.91878354804,29341.39627696497,8.390477100867288,6.494165480674446,10.286788721060132,MEDIUM,0.09430182002990734
zns/wc (3.0 wt%),zns,wc,3.0,4336.234142371707,28890.52994756118,8.374992129551666,6.478680509358823,10.27130374974451,MEDIUM,0.09652759871158628
wo3/rh (3.0 wt%),wo3,rh,3.0,4295.933050881259,28622.07310306189,8.365656803221052,6.469345183028209,10.261968423413895,MEDIUM,0.11630017810140748
