host_material,co_catalyst,co_catalyst_wt_pct,glycerol_concentration_v_pct,light_type,catalyst_loading_g_L,pred_median_log,pred_p05_log,pred_p95_log,ucb_log,ad_score,ad_label,pred_her_umol_g_h,pred_her_lower_umol_g_h,pred_her_upper_umol_g_h,ucb_her_umol_g_h,novelty_score
zns,au,5.0,30.0,visible,0.5,8.327215120334516,6.711325493567077,9.943104747101955,9.943104747101955,2,Moderate Confidence,4133.886342307325,820.6590217170478,20807.24844845115,20807.24844845115,0.3589539041187869
cu2o,pd,5.0,50.0,visible,0.5,8.314158649203291,6.698269022435852,9.93004827597073,9.93004827597073,2,Moderate Confidence,4080.250229278713,810.0007853082564,20537.332065432558,20537.332065432558,0.3649614861971442
ga2o3,pd,5.0,50.0,visible,0.5,8.314158649203291,6.698269022435852,9.93004827597073,9.93004827597073,2,Moderate Confidence,4080.250229278713,810.0007853082564,20537.332065432558,20537.332065432558,0.3649614861971442
v2o5,pd,5.0,50.0,visible,0.5,8.314158649203291,6.698269022435852,9.93004827597073,9.93004827597073,2,Moderate Confidence,4080.250229278713,810.0007853082564,20537.332065432558,20537.332065432558,0.3649614861971442
v2o5,au,2.0,50.0,uv,0.5,8.27456396170661,6.658674334939171,9.890453588474049,9.890453588474049,2,Moderate Confidence,3921.8117613112627,778.5168735836503,19740.012204055423,19740.012204055423,0.3550905019221132
cu2o,au,2.0,50.0,uv,0.5,8.27456396170661,6.658674334939171,9.890453588474049,9.890453588474049,2,Moderate Confidence,3921.8117613112627,778.5168735836503,19740.012204055423,19740.012204055423,0.3550905019221132
ga2o3,au,2.0,50.0,uv,0.5,8.27456396170661,6.658674334939171,9.890453588474049,9.890453588474049,2,Moderate Confidence,3921.8117613112627,778.5168735836503,19740.012204055423,19740.012204055423,0.3550905019221132
zns,wc,5.0,30.0,uv,0.5,8.270452878916437,6.654563252148998,9.886342505683876,9.886342505683876,2,Moderate Confidence,3905.7178617339496,775.3187934702975,19659.021861592402,19659.021861592402,0.32911777231512424
zns,pd,5.0,30.0,visible,0.5,8.256790098961172,6.640900472193733,9.872679725728611,9.872679725728611,2,Moderate Confidence,3852.704216800188,764.7842500686467,19392.23796389423,19392.23796389423,0.2976871480226607
v2o5,wc,5.0,50.0,visible,0.5,8.23954052600677,6.6236508992393315,9.85543015277421,9.85543015277421,2,Moderate Confidence,3786.799512908404,751.6880752180319,19060.581579903606,19060.581579903606,0.3530779934280367
